Package,Built
abind,3.6.0
acepack,3.6.0
adaptMCMC,3.6.0
agricolae,3.6.2
airports,3.6.2
akima,3.6.2
AlgDesign,3.6.0
ape,3.6.2
asbio,3.6.2
askpass,3.6.0
assertthat,3.6.0
backports,3.6.2
base64enc,3.6.0
bayesplot,3.6.2
BBmisc,3.6.0
benchmarkme,3.6.2
benchmarkmeData,3.6.2
BH,3.6.0
BiocGenerics,3.6.1
BiocManager,3.6.0
BiocVersion,3.6.0
bisoreg,3.6.3
bit,3.6.2
bit64,3.6.2
bitops,3.6.0
blob,3.6.0
blogdown,3.6.2
Bolstad2,3.6.0
bookdown,3.6.3
bootstrap,3.6.0
brew,3.6.0
broom,3.6.2
callr,3.6.2
car,3.6.2
carData,3.6.2
caret,3.6.0
cellranger,3.6.0
checkmate,3.6.0
cherryblossom,3.6.2
classInt,3.6.2
cli,3.6.0
clipr,3.6.0
clusterGeneration,3.6.0
cmvnorm,3.6.0
coda,3.6.0
colorspace,3.6.0
colourpicker,3.6.0
combinat,3.6.0
commonmark,3.6.0
config,3.6.0
conflicted,3.6.0
countdown,3.6.3
covr,3.6.0
cpp11,3.6.2
crayon,3.6.0
crosstalk,3.6.0
csvy,3.6.0
cubature,3.6.2
curl,3.6.0
data.table,3.6.0
datasets.load,3.6.2
DBI,3.6.0
dbplyr,3.6.2
DEoptimR,3.6.0
Deriv,3.6.2
desc,3.6.0
DescTools,3.6.2
deSolve,3.6.0
devtools,3.6.2
digest,3.6.2
dlm,3.6.0
doBy,3.6.2
doMC,3.6.0
doParallel,3.6.0
dotCall64,3.6.0
dplyr,3.6.2
dslabs,3.6.0
DT,3.6.2
dygraphs,3.6.0
e1071,3.6.0
ellipse,3.6.2
ellipsis,3.6.2
elliptic,3.6.0
emo,3.6.3
emulator,3.6.0
evaluate,3.6.0
evd,3.6.0
Exact,3.6.2
expm,3.6.2
fansi,3.6.0
farver,3.6.0
fastmap,3.6.0
feather,3.6.0
fields,3.6.0
filehash,3.6.0
flexdashboard,3.6.2
fontawesome,3.6.3
forcats,3.6.0
foreach,3.6.2
forge,3.6.0
formatR,3.6.0
Formula,3.6.0
fs,3.6.2
fst,3.6.2
ftnonpar,3.6.0
futile.logger,3.6.0
futile.options,3.6.0
gapminder,3.6.0
generics,3.6.2
GGally,3.6.2
gganimate,3.6.2
ggplot2,3.6.2
ggrepel,3.6.2
ggridges,3.6.0
ggthemes,3.6.0
gh,3.6.0
git2r,3.6.2
gld,3.6.0
glmnet,3.6.2
globals,3.6.2
glue,3.6.3
gower,3.6.2
graph,3.6.1
gridExtra,3.6.0
gt,3.6.2
gtable,3.6.0
gtools,3.6.2
gWidgets2,3.6.0
gWidgets2tcltk,3.6.0
haven,3.6.2
HDInterval,3.6.2
here,3.6.0
hexbin,3.6.0
hexView,3.6.0
highlight,3.6.0
highr,3.6.0
Hmisc,3.6.2
hms,3.6.0
htmlTable,3.6.2
htmltools,3.6.2
htmlwidgets,3.6.0
httpuv,3.6.2
httr,3.6.2
igraph,3.6.0
ini,3.6.0
inline,3.6.0
invgamma,3.6.0
ipred,3.6.0
ISLR,3.6.0
isoband,3.6.2
iterators,3.6.0
janitor,3.6.2
jpeg,3.6.0
jsonlite,3.6.2
kableExtra,3.6.3
klaR,3.6.0
knitr,3.6.2
labeling,3.6.0
labelled,3.6.2
lambda.r,3.6.0
later,3.6.2
latticeExtra,3.6.0
lava,3.6.2
lazyeval,3.6.0
leaflet,3.6.0
leaflet.providers,3.6.0
LearnBayes,3.6.0
learnr,3.6.0
lifecycle,3.6.0
lineprof,3.6.3
lme4,3.6.2
lmom,3.6.0
loo,3.6.2
lubridate,3.6.2
magick,3.6.2
magrittr,3.6.2
manipulateWidget,3.6.0
maps,3.6.0
maptools,3.6.2
markdown,3.6.0
matrixcalc,3.6.0
MatrixModels,3.6.0
matrixStats,3.6.0
mc2d,3.6.0
mclust,3.6.2
mcmc,3.6.0
MCMCpack,3.6.2
mcsm,3.6.0
memoise,3.6.0
metRology,3.6.0
microbenchmark,3.6.0
mime,3.6.0
miniUI,3.6.0
minqa,3.6.0
misc3d,3.6.0
mnormt,3.6.0
ModelMetrics,3.6.0
modelr,3.6.2
moments,3.6.0
monreg,3.6.2
msm,3.6.0
multcomp,3.6.2
multcompView,3.6.0
munsell,3.6.0
mvnfast,3.6.0
mvtnorm,3.6.2
nCDunnett,3.6.0
ncvreg,3.6.2
neuRosim,3.6.0
nloptr,3.6.2
nortest,3.6.0
np,3.6.0
numDeriv,3.6.0
onewaytests,3.6.0
openintro,3.6.2
openssl,3.6.2
openxlsx,3.6.2
packrat,3.6.1
palmerpenguins,3.6.2
pander,3.6.0
pbkrtest,3.6.0
phyclust,3.6.2
pillar,3.6.2
pixmap,3.6.0
pkgbuild,3.6.2
pkgconfig,3.6.0
pkgdown,3.6.3
pkgload,3.6.2
plogr,3.6.0
plot3D,3.6.0
plotly,3.6.3
plotrix,3.6.2
plyr,3.6.0
png,3.6.0
pracma,3.6.0
praise,3.6.0
prettyunits,3.6.0
pROC,3.6.0
processx,3.6.2
prodlim,3.6.0
progress,3.6.0
promises,3.6.2
pryr,3.6.0
ps,3.6.2
pscl,3.6.0
psych,3.6.3
purrr,3.6.2
quadprog,3.6.0
quantreg,3.6.2
questionr,3.6.2
R.cache,3.6.0
R.matlab,3.6.0
R.methodsS3,3.6.2
R.oo,3.6.2
R.utils,3.6.2
r2d3,3.6.0
R2WinBUGS,3.6.0
R6,3.6.2
rappdirs,3.6.0
raster,3.6.3
rbenchmark,3.6.0
RBGL,3.6.1
rcmdcheck,3.6.0
RColorBrewer,3.6.0
Rcpp,3.6.2
RcppArmadillo,3.6.2
RcppEigen,3.6.0
RcppParallel,3.6.2
RCurl,3.6.2
readODS,3.6.2
readr,3.6.0
readxl,3.6.0
recipes,3.6.2
rematch,3.6.0
rematch2,3.6.2
remotes,3.6.2
renv,3.6.2
reprex,3.6.0
reshape,3.6.0
reshape2,3.6.2
reticulate,3.6.2
revealjs,3.6.0
rex,3.6.2
rgl,3.6.2
rio,3.6.0
rjson,3.6.0
rlang,3.6.2
rmarkdown,3.6.3
rmatio,3.6.0
Rmixmod,3.6.3
robustbase,3.6.0
RobustGaSP,3.6.2
rootSolve,3.6.2
roxygen2,3.6.2
rprojroot,3.6.0
rsconnect,3.6.3
Rsolnp,3.6.0
rstan,3.6.2
rstantools,3.6.2
rstudioapi,3.6.0
rticles,3.6.2
RUnit,3.6.0
rversions,3.6.2
rvest,3.6.2
sandwich,3.6.2
sass,3.6.0
scales,3.6.2
scatterplot3d,3.6.0
selectr,3.6.0
servr,3.6.2
sessioninfo,3.6.0
sgmcmc,3.6.0
shape,3.6.0
shiny,3.6.2
shinydashboard,3.6.0
shinyjs,3.6.0
shinystan,3.6.0
shinythemes,3.6.0
slidify,3.6.3
slidifyLibraries,3.6.3
snakecase,3.6.0
sourcetools,3.6.0
sp,3.6.2
spam,3.6.0
sparklyr,3.6.2
SparseM,3.6.0
spectralGP,3.6.0
SQUAREM,3.6.2
StanHeaders,3.6.2
statmod,3.6.0
stringi,3.6.2
stringr,3.6.0
styler,3.6.0
sys,3.6.2
tensorflow,3.6.2
testthat,3.6.0
tfruns,3.6.0
TH.data,3.6.0
threejs,3.6.0
tibble,3.6.2
tidyr,3.6.3
tidyselect,3.6.2
tidyverse,3.6.0
tikzDevice,3.6.2
timeDate,3.6.0
tinytex,3.6.2
tkrplot,3.6.0
truncdist,3.6.0
truncnorm,3.6.0
tufte,3.6.2
tweenr,3.6.0
usdata,3.6.2
usethis,3.6.2
utf8,3.6.0
uuid,3.6.0
V8,3.6.2
vctrs,3.6.3
VennDiagram,3.6.0
Vennerable,3.6.3
viridis,3.6.0
viridisLite,3.6.0
vroom,3.6.2
waveslim,3.6.0
webshot,3.6.0
whisker,3.6.0
withr,3.6.2
xaringan,3.6.2
xaringanExtra,3.6.3
xfun,3.6.2
xml2,3.6.2
xopen,3.6.0
xtable,3.6.0
xts,3.6.0
yaml,3.6.0
zeallot,3.6.0
zip,3.6.3
zoo,3.6.2
