Package,LibPath,Version,Priority,Built
abind,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-5,NA,3.6.0
acepack,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.1,NA,3.6.0
adaptMCMC,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3,NA,3.6.0
agricolae,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3-3,NA,3.6.2
airports,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.2
akima,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6-2.1,NA,3.6.2
AlgDesign,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.0,NA,3.6.0
ape,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,5.4-1,NA,3.6.2
asbio,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.6-5,NA,3.6.2
askpass,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1,NA,3.6.0
assertthat,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.1,NA,3.6.0
backports,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.9,NA,3.6.2
base,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
base64enc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-3,NA,3.6.0
bayesplot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7.2,NA,3.6.2
BBmisc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.11,NA,3.6.0
benchmarkme,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.4,NA,3.6.2
benchmarkmeData,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.4,NA,3.6.2
BH,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.72.0-3,NA,3.6.0
BiocGenerics,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.32.0,NA,3.6.1
BiocManager,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.30.10,NA,3.6.0
BiocVersion,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.10.1,NA,3.6.0
bisoreg,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5,NA,3.6.3
bit,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.0.4,NA,3.6.2
bit64,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.0.5,NA,3.6.2
bitops,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-6,NA,3.6.0
blob,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.1,NA,3.6.0
blogdown,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.20,NA,3.6.2
Bolstad2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-28,NA,3.6.0
bookdown,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.21,NA,3.6.3
boot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3-25,recommended,3.6.2
bootstrap,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2019.6,NA,3.6.0
brew,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-6,NA,3.6.0
broom,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.7.0,NA,3.6.2
callr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.5.1,NA,3.6.2
car,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.0-10,NA,3.6.2
carData,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.0-4,NA,3.6.2
caret,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,6.0-86,NA,3.6.0
cellranger,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
checkmate,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.0,NA,3.6.0
cherryblossom,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.2
class,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,7.3-17,recommended,3.6.2
classInt,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4-3,NA,3.6.2
cli,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.2,NA,3.6.0
clipr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.7.0,NA,3.6.0
cluster,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1.0,recommended,3.6.3
clusterGeneration,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.4,NA,3.6.0
cmvnorm,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-6,NA,3.6.0
coda,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.19-3,NA,3.6.0
codetools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2-16,recommended,3.6.3
colorspace,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-1,NA,3.6.0
colourpicker,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0,NA,3.6.0
combinat,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.0-8,NA,3.6.0
commonmark,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7,NA,3.6.0
compiler,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
config,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3,NA,3.6.0
conflicted,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.4,NA,3.6.0
countdown,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.5,NA,3.6.3
covr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.5.0,NA,3.6.0
cpp11,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.1,NA,3.6.2
crayon,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.4,NA,3.6.0
crosstalk,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0.1,NA,3.6.0
csvy,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
cubature,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.4.1,NA,3.6.2
curl,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.3,NA,3.6.0
data.table,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.12.6,NA,3.6.0
datasets,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
datasets.load,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.0,NA,3.6.2
DBI,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
dbplyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.4,NA,3.6.2
DEoptimR,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-8,NA,3.6.0
Deriv,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.0.1,NA,3.6.2
desc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.0,NA,3.6.0
DescTools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.99.38,NA,3.6.2
deSolve,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.28,NA,3.6.0
devtools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.3.1,NA,3.6.2
digest,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6.27,NA,3.6.2
dlm,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1-5,NA,3.6.0
doBy,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.6.8,NA,3.6.2
doMC,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3.6,NA,3.6.0
doParallel,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.15,NA,3.6.0
dotCall64,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-0,NA,3.6.0
dplyr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.2,NA,3.6.2
dslabs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.7.3,NA,3.6.0
DT,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.15,NA,3.6.2
dygraphs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.1.6,NA,3.6.0
e1071,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7-3,NA,3.6.0
ellipse,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.2,NA,3.6.2
ellipsis,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.1,NA,3.6.2
elliptic,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-0,NA,3.6.0
emo,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.0.0.9000,NA,3.6.3
emulator,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2-20,NA,3.6.0
evaluate,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.14,NA,3.6.0
evd,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.3-3,NA,3.6.0
Exact,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.1,NA,3.6.2
expm,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.999-5,NA,3.6.2
fansi,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4.1,NA,3.6.0
farver,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.3,NA,3.6.0
fastmap,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.1,NA,3.6.0
feather,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.5,NA,3.6.0
fields,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,10.3,NA,3.6.0
filehash,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.4-2,NA,3.6.0
flexdashboard,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.2,NA,3.6.2
fontawesome,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.3
forcats,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.0,NA,3.6.0
foreach,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.0,NA,3.6.2
foreign,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8-75,recommended,3.6.3
forge,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.0,NA,3.6.0
formatR,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7,NA,3.6.0
Formula,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2-3,NA,3.6.0
fs,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.0,NA,3.6.2
fst,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9.4,NA,3.6.2
ftnonpar,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-88,NA,3.6.0
futile.logger,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.3,NA,3.6.0
futile.options,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.1,NA,3.6.0
gapminder,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
generics,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.2
GGally,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.0,NA,3.6.2
gganimate,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.7,NA,3.6.2
ggplot2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.3.2,NA,3.6.2
ggrepel,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9.0,NA,3.6.2
ggridges,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.2,NA,3.6.0
ggthemes,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.2.0,NA,3.6.0
gh,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0,NA,3.6.0
git2r,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.27.1,NA,3.6.2
gld,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.6.2,NA,3.6.0
glmnet,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.0-2,NA,3.6.2
globals,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.13.0,NA,3.6.2
glue,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.2,NA,3.6.3
gower,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.2,NA,3.6.2
graph,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.64.0,NA,3.6.1
graphics,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
grDevices,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
grid,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
gridExtra,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.3,NA,3.6.0
gt,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.2,NA,3.6.2
gtable,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.0,NA,3.6.0
gtools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.8.2,NA,3.6.2
gWidgets2,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-8,NA,3.6.0
gWidgets2tcltk,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-6,NA,3.6.0
haven,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.3.1,NA,3.6.2
HDInterval,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.2,NA,3.6.2
here,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1,NA,3.6.0
hexbin,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.28.1,NA,3.6.0
hexView,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3-4,NA,3.6.0
highlight,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.0,NA,3.6.0
highr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.8,NA,3.6.0
Hmisc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.4-1,NA,3.6.2
hms,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.3,NA,3.6.0
htmlTable,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.1,NA,3.6.2
htmltools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.5.0,NA,3.6.2
htmlwidgets,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.1,NA,3.6.0
httpuv,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5.4,NA,3.6.2
httr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.2,NA,3.6.2
igraph,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.5,NA,3.6.0
ini,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.1,NA,3.6.0
inline,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3.15,NA,3.6.0
invgamma,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1,NA,3.6.0
ipred,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9-9,NA,3.6.0
ISLR,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2,NA,3.6.0
isoband,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.2,NA,3.6.2
iterators,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.12,NA,3.6.0
janitor,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.1,NA,3.6.2
jpeg,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-8.1,NA,3.6.0
jsonlite,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7.2,NA,3.6.2
kableExtra,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.1,NA,3.6.3
KernSmooth,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.23-17,recommended,3.6.2
klaR,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6-15,NA,3.6.0
knitr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.30,NA,3.6.2
labeling,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.3,NA,3.6.0
labelled,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.7.0,NA,3.6.2
lambda.r,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.4,NA,3.6.0
later,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.0.1,NA,3.6.2
lattice,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.20-41,recommended,3.6.2
latticeExtra,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6-29,NA,3.6.0
lava,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.6.8.1,NA,3.6.2
lazyeval,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.2,NA,3.6.0
leaflet,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.3,NA,3.6.0
leaflet.providers,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.9.0,NA,3.6.0
LearnBayes,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.15.1,NA,3.6.0
learnr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.10.1,NA,3.6.0
lifecycle,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.0,NA,3.6.0
lineprof,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.9001,NA,3.6.3
lme4,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1-23,NA,3.6.2
lmom,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.8,NA,3.6.0
loo,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.3.1,NA,3.6.2
lubridate,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7.9,NA,3.6.2
magick,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.4.0,NA,3.6.2
magrittr,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,2.0.1,NA,3.6.2
manipulateWidget,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.10.1,NA,3.6.0
maps,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.3.0,NA,3.6.0
maptools,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-2,NA,3.6.2
markdown,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1,NA,3.6.0
MASS,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,7.3-52,recommended,3.6.2
Matrix,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2-18,recommended,3.6.3
matrixcalc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-3,NA,3.6.0
MatrixModels,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.4-1,NA,3.6.0
matrixStats,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.56.0,NA,3.6.0
mc2d,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-18,NA,3.6.0
mclust,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,5.4.6,NA,3.6.2
mcmc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.9-7,NA,3.6.0
MCMCpack,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-9,NA,3.6.2
